    442 する	を 
    174 する	に 
    127 する	と 
    117 する	が 
     84 する	て を 
     59 する	は 
     58 する	を に 
     58 する	て 
     51 する	が を 
     48 する	から 
     47 する	に を 
     42 する	で を 
     40 する	の 
     39 する	も 
     35 する	と を 
     34 する	で 
     29 する	から を 
     28 する	は を 
     20 する	は に 
     19 する	が に 
     18 する	て に 
     17 する	と が 
     17 する	て と 
     16 する	は と 
     14 する	と は 
     11 する	と は を 
     11 する	から に 
     11 する	か 
     10 する	ば 
      9 する	まで 
      9 する	は て 
      9 する	に は 
      9 する	に が 
      9 する	で も 
      9 する	て も 
      8 する	は て を 
      8 する	と も 
      8 する	と が を 
      8 する	でも 
      8 する	で に 
      8 する	で が 
      8 する	て は 
      8 する	て て 
      7 する	を と 
      7 する	へ 
      7 する	に に 
      7 する	さえ 
      7 する	くらい に 
      6 する	を が 
      6 する	も に 
      6 する	まで を 
      6 する	に も 
      6 する	で が を 
      6 する	て を に 
      6 する	て て を 
      6 する	くらい 
      6 する	が に を 
      5 する	をもって 
      5 する	は も 
      5 する	は が 
      5 する	なんか 
      5 する	など と 
      5 する	と に 
      5 する	で に を 
      5 する	て が 
      5 する	が と 
      5 する	が で を 
      5 する	か と 
      4 縛する	に は に 
      4 称する	と 
      4 する	を から 
      4 する	よ と 
      4 する	も を 
      4 する	も が 
      4 する	まで に 
      4 する	ば を 
      4 する	は に を 
      4 する	は て に 
      4 する	に を に 
      4 する	に は を 
      4 する	でも を 
      4 する	で も を 
      4 する	て の 
      4 する	て に を 
      4 する	だって 
      4 する	だけ は 
      4 する	だけ 
      4 する	が を に 
      4 する	が へ 
      4 する	から も 
      4 する	から と 
      4 する	か を 
      4 する	か に 
      3 存する	は に 
      3 愛する	を 
      3 はする	を 
      3 する	んで を 
      3 する	よ と を 
      3 する	も を に 
      3 する	へ を 
      3 する	ば と 
      3 する	は を に 
      3 する	は ながら を 
      3 する	は と を 
      3 する	は から 
      3 する	ので 
      3 する	の に を 
      3 する	の に に 
      3 する	の に 
      3 する	において 
      3 する	に について 
      3 する	に が を 
      3 する	ながら 
      3 する	として 
      3 する	と は に 
      3 する	と と 
      3 する	と で 
      3 する	と て を 
      3 する	て へ 
